"Candidate","Party","Votes","State","Const"
"MD OSMAN","Independent",167,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"SHAIK MOIN","Independent",166,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"JAYA VINDHYALA","Socialist Party (India)",163,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"N.MAHENDER SINGH","Nava Bharat National Party",159,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"None of the Above","None of the Above",161,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"KONDA VISHWESHWAR REDDY","Telangana Rashtra Samithi",179,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"PATLOLLA KARTIK REDDY","Indian National Congress",177,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"TULLA VEERENDER","Telugu Desam",176,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"CHAN PASHA","Akhil Bharatiya Muslim League (Secular)",180,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"KONDA RAGHAVA REDDY","Yuvajana Sramika Rythu Congress Party",178,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"G.MALLESHAM GOUD","Independent",173,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"SAMALA RAVINDAR","Bahujan Samaj Party",183,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"REGATTE VENKAT REDDY","Aam Aadmi Party",182,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"KUMMARI GIRI","Pyramid Party of India",181,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"MD YUNUS MIYA","Marxist Communist Party of India (United)",175,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"DR. P. SADHU SATYANADHAN","Indian Christian Secular Party",174,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"SUTHARAPU PADMAIAH","Andhra Pradesh Rashtra Samaikya Samithi Party",172,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"SANIKE RAM GOPAL YADAV","Independent",128,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"DR.GOLLA RAMAIAH","Telangana Loksatta Party",171,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"SYED HASHMATHULLAH QUADRI","Indian Union Muslim League",170,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"None of the Above","None of the Above",169,"Andhra Pradesh","Andhra Pradesh - CHELVELLA"
"AP JITHENDER REDDY","Telangana Rashtra Samithi",189,"Andhra Pradesh","Andhra Pradesh - Mahbubnagar"
"JAIPAL REDDY SUDINI","Indian National Congress",188,"Andhra Pradesh","Andhra Pradesh - Mahbubnagar"
"DR. JANARDHAN REDDY NAGAM","Bharatiya Janata Party",185,"Andhra Pradesh","Andhra Pradesh - Mahbubnagar"
"S.R.PREMAIAH","Pyramid Party of India",186,"Andhra Pradesh","Andhra Pradesh - Mahbubnagar"
"KADIRE KRISHNA","Bahujan Samaj Party",184,"Andhra Pradesh","Andhra Pradesh - Mahbubnagar"
"H.A. RAHMAN","Yuvajana Sramika Rythu Congress Party",193,"Andhra Pradesh","Andhra Pradesh - Mahbubnagar"
"IBRAHIM SYED","Independent",191,"Andhra Pradesh","Andhra Pradesh - Mahbubnagar"
"DR. CHANDRA SEKHAR. A","Independent",190,"Andhra Pradesh","Andhra Pradesh - Mahbubnagar"
"S. SHIVA SHANKAR","Independent",187,"Andhra Pradesh","Andhra Pradesh - Mahbubnagar"
"None of the Above","None of the Above",192,"Andhra Pradesh","Andhra Pradesh - Mahbubnagar"
"YELLAIAH NANDI","Indian National Congress",199,"Andhra Pradesh","Andhra Pradesh - Nagarkurnool"
"DR. MANDA JAGANNATH","Telangana Rashtra Samithi",198,"Andhra Pradesh","Andhra Pradesh - Nagarkurnool"
"BAKKANI NARSIMLU","Telugu Desam",196,"Andhra Pradesh","Andhra Pradesh - Nagarkurnool"
"BUDDULA SRINIVAS","Independent",200,"Andhra Pradesh","Andhra Pradesh - Nagarkurnool"
"MAREDU GOPAL","Yuvajana Sramika Rythu Congress Party",197,"Andhra Pradesh","Andhra Pradesh - Nagarkurnool"
"BAHADHUR SRINIVAS","Bahujan Samaj Party",194,"Andhra Pradesh","Andhra Pradesh - Nagarkurnool"
"None of the Above","None of the Above",195,"Andhra Pradesh","Andhra Pradesh - Nagarkurnool"
"GUTHA SUKHENDER REDDY","Indian National Congress",207,"Andhra Pradesh","Andhra Pradesh - Nalgonda"
"TERA CHINNAPA REDDY","Telugu Desam",204,"Andhra Pradesh","Andhra Pradesh - Nalgonda"
"DR. PALLA RAJESHWAR REDDY","Telangana Rashtra Samithi",203,"Andhra Pradesh","Andhra Pradesh - Nalgonda"
"MARRI NEHEMIAH","Independent",209,"Andhra Pradesh","Andhra Pradesh - Nalgonda"
"NANDYALA NARSIMHA REDDY","Communist Party of India  (Marxist)",208,"Andhra Pradesh","Andhra Pradesh - Nalgonda"
"GUNNAM NAGI REDDY","Yuvajana Sramika Rythu Congress Party",205,"Andhra Pradesh","Andhra Pradesh - Nalgonda"
"KUNDARAPU RAMESH","Bahujan Samaj Party",201,"Andhra Pradesh","Andhra Pradesh - Nalgonda"
"MANUPURI DAYA SAGAR","Pyramid Party of India",206,"Andhra Pradesh","Andhra Pradesh - Nalgonda"
"TEJAVATH BELLAIAH NAIK","Aam Aadmi Party",202,"Andhra Pradesh","Andhra Pradesh - Nalgonda"
"None of the Above","None of the Above",210,"Andhra Pradesh","Andhra Pradesh - Nalgonda"
"DR. BOORA NARSAIAH GOUD","Telangana Rashtra Samithi",219,"Andhra Pradesh","Andhra Pradesh - Bhongir"
"KOMATIREDDY RAJGOPAL REDDY","Indian National Congress",218,"Andhra Pradesh","Andhra Pradesh - Bhongir"
"INDRASENA REDDY NALLU","Bharatiya Janata Party",212,"Andhra Pradesh","Andhra Pradesh - Bhongir"
"CHERUPALLY SEETHARAMULU","Communist Party of India  (Marxist)",220,"Andhra Pradesh","Andhra Pradesh - Bhongir"
"VARIKUPPALA KRISHNA VADDERA","Independent",217,"Andhra Pradesh","Andhra Pradesh - Bhongir"
"NAVULLA MALLA REDDY","Independent",216,"Andhra Pradesh","Andhra Pradesh - Bhongir"
"ARVAPALLY AMBATI","Bahujan Samaj Party",224,"Andhra Pradesh","Andhra Pradesh - Bhongir"
"RAVULAPALLY KONDAL RAO","Independent",223,"Andhra Pradesh","Andhra Pradesh - Bhongir"
"BOILLA NARENDER","Republican Party of India",222,"Andhra Pradesh","Andhra Pradesh - Bhongir"
"KAPILAVAI DILEEP KUMAR","Rashtriya Lok Dal",221,"Andhra Pradesh","Andhra Pradesh - Bhongir"
"GUAHATI MOTHILAL","All India Majlis-E-Ittehadul Muslimeen",215,"Andhra Pradesh","Andhra Pradesh - Bhongir"
"GUDURU JANARDHAN REDDY","Jai Samaikyandhra Party",214,"Andhra Pradesh","Andhra Pradesh - Bhongir"
"NAGULA SRINIVAS YADAV","Mahajana Socialist Party",213,"Andhra Pradesh","Andhra Pradesh - Bhongir"
"None of the Above","None of the Above",211,"Andhra Pradesh","Andhra Pradesh - Bhongir"
"KADIYAM SRIHARI","Telangana Rashtra Samithi",234,"Andhra Pradesh","Andhra Pradesh - Warangal"
"RAJAIAH SIRICILLA","Indian National Congress",231,"Andhra Pradesh","Andhra Pradesh - Warangal"
"PARAMESHWAR RAMAGALLA","Bharatiya Janata Party",227,"Andhra Pradesh","Andhra Pradesh - Warangal"
"GANNARAPU SURENDER","Bahujan Samaj Party",237,"Andhra Pradesh","Andhra Pradesh - Warangal"
"CHILUVERU PRATHAP","Independent",236,"Andhra Pradesh","Andhra Pradesh - Warangal"
"THUPPARI NARASIMHA SWAMY","Pyramid Party of India",235,"Andhra Pradesh","Andhra Pradesh - Warangal"
"CHINTHA SWAMY","Aam Aadmi Party",233,"Andhra Pradesh","Andhra Pradesh - Warangal"
"JANNU MAHENDAR","Independent",232,"Andhra Pradesh","Andhra Pradesh - Warangal"
"VENKANNA KANNAM","Marxist Communist Party of India (United)",230,"Andhra Pradesh","Andhra Pradesh - Warangal"
"VENKANNA NEERUDU","Bahujan Mukti Party",229,"Andhra Pradesh","Andhra Pradesh - Warangal"
"KANAKAM RAMESH","Independent",228,"Andhra Pradesh","Andhra Pradesh - Warangal"
"VENU ESAMPELLY","All India Forward Bloc",226,"Andhra Pradesh","Andhra Pradesh - Warangal"
"None of the Above","None of the Above",225,"Andhra Pradesh","Andhra Pradesh - Warangal"
"PROF. AZMEERA SEETARAM NAIK","Telangana Rashtra Samithi",245,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"P. BALRAM","Indian National Congress",243,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"BANOTH MOHANLAL","Telugu Desam",241,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"TELLAM VENKATA RAO","Yuvajana Sramika Rythu Congress Party",238,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"PAYAM CHANDHAR RAO (CHINNA CHANDHRANNA)","Independent",255,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"LAXMAN BUKYA","Independent",240,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"V. GOURI NAGAMANI","Independent",239,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"DATLA NAGESHWAR RAO","Independent",254,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"KAVITHA RANI LUNAVATH","Pyramid Party of India",252,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"BODA RAASI","Bahujan Samaj Party",251,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"LAXMINARAYANA BORRA","Independent",250,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"METLA PAPAIAH","Independent",249,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"GUGULOTU JAGAN","Marxist Communist Party of India (United)",248,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"PADIGA YARRAIAH","Independent",247,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
